"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.21565247077347,-0.0018895703396579,-0.669800630274202,2.35565442574464e-06,196,NA,NA,0,TRUE,TRUE,1.14000000000033,1.14923223642111e-05,0.00140759353878977,3.15797539970654e-05,0.999999999999998,4.81447922265468e-06,0.000475599472841348,1.40107180093286e-05,"HML","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:16,2.35565442574464e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.1310116159981,0.00134506551226609,NA,2.17670441381016e-06,128,NA,NA,0,TRUE,FALSE,0.6899999999996,0.000174627599330083,0.0136447332072819,NA,0.999999999950438,6.8011534391468e-05,0.0047448313178651,NA,"SMB","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:21,2.17670441381016e-06,-0.979449682076257,0.000583443135673434,0.000230726249903281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.02215683294726,-8.01821389596443e-05,NA,2.18212526475249e-06,174,NA,NA,0,TRUE,FALSE,0.920000000000073,3.3294024399224e-06,0.000313722408665388,NA,1,1.24301872139654e-06,0.000106003383493859,NA,"HDY","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:27,2.18212526475249e-06,NA,NA,NA,-1.34840463818181,3.46984433902167e-06,2.66181659413546e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.64989716508525,-0.00396390643513939,NA,2.83311688121412e-06,238,NA,NA,0,TRUE,FALSE,1.5,1.13782565436993e-05,0.000940468514481479,NA,0.999999999999992,3.75837802922003e-06,0.000317349042459031,NA,"QLT","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:31,2.83311688121412e-06,NA,NA,NA,NA,NA,NA,0.470662069893228,4.30192783234378e-05,1.46801444917758e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.35181832032945,-0.00354061737290858,NA,2.82293394665163e-06,220,NA,NA,0,TRUE,FALSE,1.1899999999996,0.000839583875056166,0.0461726949935373,NA,0.99999999410724,0.000283298535953327,0.0155861986894491,NA,"MOM","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:35,2.82293394665163e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33404414237183,0.0017649450555314,0.000659927408380343,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.57737169444716,-0.00218885653303444,NA,2.35570660821568e-06,182,NA,NA,0,TRUE,FALSE,1.07999999999993,7.47858139326935e-06,0.000848556323467231,NA,0.999999999990489,2.52275486745728e-06,0.000286679111864896,NA,"ESG","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:39,2.35570660821568e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8074886374441,2.99183244427996e-05,1.0977363158434e-05,NA,NA,NA
"Nelder-Mead6",1.09571644313358,0.0012879402868894,NA,2.31692910682097e-06,202,NA,NA,0,TRUE,FALSE,1.03000000000065,2.62171863968701e-05,0.00109973787822959,NA,0.999999999999988,9.44150006819468e-06,0.000382389304469967,NA,"LOV","ALL",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:45,2.31692910682097e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.24466780850205,2.94033751050922e-05,1.36106182819034e-05
"Nelder-Mead7",1.20504172844684,-0.000106208063356877,-0.414457215406453,1.10366475832466e-06,130,NA,NA,0,TRUE,TRUE,0.829999999999927,0.000600869875962538,0.0560555253433669,0.000561495525326674,0.999999999996927,0.000244463830664971,0.0190125880857849,0.000410605524125429,"HML","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:50,1.10366475832466e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.19224317152208,0.00153485996247186,NA,1.09083588886833e-06,138,NA,NA,0,TRUE,TRUE,0.75,3.1002618315482e-06,0.000402125284491706,NA,1,1.29088067706274e-06,0.000138883956181514,NA,"SMB","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:39:55,1.09083588886833e-06,-0.547411048386252,4.40563115641877e-06,3.1971776894585e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.13641045646996,0.000746346212791971,NA,1.10300798449026e-06,142,NA,NA,0,TRUE,FALSE,0.840000000000146,8.21753093147632e-06,0.000676225237048926,NA,1,3.06288035007419e-06,0.000232347771369651,NA,"HDY","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:01,1.10300798449026e-06,NA,NA,NA,-0.740981509158284,6.88505252116902e-06,5.14916766639868e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.47470829010728,0.000170650042399956,NA,1.18876216412165e-06,180,NA,NA,0,TRUE,FALSE,1.07999999999993,6.84618358723923e-06,0.000479796030741236,NA,1,2.2709150829485e-06,0.000162722124585287,NA,"QLT","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:05,1.18876216412165e-06,NA,NA,NA,NA,NA,NA,-0.299595083198424,1.98953511732755e-05,7.40042738305876e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.77438507896488,0.00470926874029813,NA,1.13459675781089e-06,232,NA,NA,0,TRUE,FALSE,1.46999999999935,0.00260336460809335,0.144071968342551,NA,0.999994939986476,0.00195381432375237,0.0666604115551894,NA,"MOM","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:12,1.13459675781089e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.42546271641548,0.0115330164123892,0.0045733931350274,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.41054463881424,8.78533841790363e-05,NA,9.21985449208473e-07,180,NA,NA,0,TRUE,FALSE,0.900000000000546,0.00154814564021362,0.109616949693544,NA,0.999968798611946,0.000524728568167957,0.0371774252883772,NA,"ESG","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:15,9.21985449208473e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0192361967435,0.00402316845800113,0.00155523995600153,NA,NA,NA
"Nelder-Mead61",0.928052931271321,0.00335672369042434,NA,9.63670821203975e-07,142,NA,NA,0,TRUE,FALSE,0.850000000000364,8.30824209446361e-06,0.000444602505046683,NA,1,3.06429518241423e-06,0.000157576197302462,NA,"LOV","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:21,9.63670821203975e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23854533162758,3.35198244446536e-06,3.06171476532436e-06
"Nelder-Mead8",0.927846169806099,0.00252846875848003,1.06853333417392,3.24230471924017e-07,130,NA,NA,0,TRUE,TRUE,0.799999999999272,6.97817533030635e-06,0.000401326236413341,1.49339688165027e-05,0.999999999999999,3.0021007361479e-06,0.000162169836725423,6.848262120523e-06,"HML","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:23,3.24230471924017e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.04903095145268,-0.00240623291466547,NA,2.75410547995997e-07,124,NA,NA,0,TRUE,TRUE,0.800000000000182,0.000589622189594032,0.00766834741325497,NA,0.999999999775875,0.00022799415438037,0.00288586650619619,NA,"SMB","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:26,2.75410547995997e-07,1.35553857326714,0.000662047163747478,0.000258220899448071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.10384914426908,0.000573414430651543,NA,2.91211794528381e-07,144,NA,NA,0,TRUE,FALSE,0.829999999999927,0.00134388732172518,0.0635702648917659,NA,0.99999991838999,0.000549552840620621,0.0256645908276773,NA,"HDY","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:29,2.91211794528381e-07,NA,NA,NA,2.07851467438704,0.0031951450522332,0.00140388261650542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",0.400806608854563,0.00732605544380685,NA,3.30400126197298e-07,146,NA,NA,0,TRUE,TRUE,0.630000000000109,0.000356120999292097,0.0126003286891004,NA,0.9999999993045,0.000197449767601209,0.0102190471365459,NA,"QLT","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:34,3.30400126197298e-07,NA,NA,NA,NA,NA,NA,-1.55267415522984,0.00069254497056256,0.000331711459772823,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",1.20396817207286,0.00636486100303771,NA,3.00629890024535e-07,164,NA,NA,0,TRUE,FALSE,0.660000000000764,0.00182357347013959,0.0365292624027507,NA,0.99999999454321,0.000962798565209431,0.0320894370727845,NA,"MOM","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:39,3.00629890024535e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18497406427883,0.000852775144989426,0.00102745984625813,NA,NA,NA,NA,NA,NA
"Nelder-Mead52",0.720990935829717,0.00188811070985299,NA,3.68849156598184e-07,162,NA,NA,0,TRUE,FALSE,0.840000000000146,0.000974512766362934,0.12318569013679,NA,0.999994225946034,0.000394249553199933,0.049757526229107,NA,"ESG","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:42,3.68849156598184e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2259972123191,0.00277477950999827,0.00173606191818048,NA,NA,NA
"Nelder-Mead62",0.807366726082374,0.000781557729697018,NA,3.7485550124008e-07,148,NA,NA,0,TRUE,FALSE,0.699999999999818,3.28984313198863e-06,0.000276833189322317,NA,1,1.38140535620283e-06,0.000111769383957725,NA,"LOV","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:45,3.7485550124008e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585603815745233,6.98247193481705e-06,4.07293688580266e-06
"Nelder-Mead9",0.489785888149166,0.000879720514178243,-1.87945335277084,2.48521076949996e-07,202,NA,NA,0,TRUE,FALSE,0.549999999999272,0.000252178753987592,0.0193545643964986,9.77146197100143e-05,0.999999999999969,0.000133425626971861,0.00917506289182811,7.8640656096899e-05,"HML","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:49,2.48521076949996e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",-2.06815253416279,0.037669865156743,NA,1.16869728845501e-07,210,NA,NA,0,TRUE,TRUE,0.539999999999964,0.0399128967819496,1.2550698329911,NA,0.963044921322868,0.0205059764824082,0.64649793517837,NA,"SMB","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:53,1.16869728845501e-07,-4.06307884936135,0.0895430822451531,0.041571607108809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",-4.16019000099199,0.05000018303643,NA,1.34249613944902e-07,274,NA,NA,0,TRUE,TRUE,0.640000000000327,0.00179418826349301,0.0936868121740974,NA,0.993659035911893,0.000975215016373203,0.0509052231082053,NA,"HDY","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:40:57,1.34249613944902e-07,NA,NA,NA,-5.44435065076198,0.050801255249137,0.0225921735715046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead33",-1.64990301552772,0.0188220938736967,NA,1.23939020408909e-07,384,NA,NA,0,TRUE,FALSE,1.14999999999964,2.330612467577e-05,0.000584518673866347,NA,0.999999999914209,1.0620943723622e-05,0.000265128046560916,NA,"QLT","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:41:00,1.23939020408909e-07,NA,NA,NA,NA,NA,NA,7.39790281380136,0.000102390109471153,4.44812151009996e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead43",-1.36358664416779,0.0207068951001939,NA,1.42060057844678e-07,338,NA,NA,0,TRUE,TRUE,1.05999999999949,0.00496528800387014,0.171422442480022,NA,0.999911771720954,0.00227222309899963,0.0788879988088905,NA,"MOM","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:41:03,1.42060057844678e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46848902681031,0.0188680854570587,0.00820533245106052,NA,NA,NA,NA,NA,NA
"Nelder-Mead53",1.60038746015189,-0.00160778360045761,NA,2.69756981344348e-07,186,NA,NA,0,TRUE,FALSE,0.609999999999673,0.000247562114207274,0.0235813598072167,NA,0.999999999971993,0.000118430758877236,0.0112753287818884,NA,"ESG","FOF",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:41:05,2.69756981344348e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342384258127266,0.000837675319277524,0.000400885387955055,NA,NA,NA
