"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.133984375,22661.6696603764,22,NA,NA,0,TRUE,TRUE,0.362,1.04966625718752,0.888155233716185,0.694479379265585,"MKT","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:38,22661.6696603764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.13438159234356,22660.5922203142,47,NA,NA,0,TRUE,TRUE,0.757,1.04835207015,0.989649730642912,0.702013368613784,"ME","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:41,22660.5922203142,-0.0141273156623356,1.7967346196125,0.736296355555376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.14568510288509,21789.9026344958,51,NA,NA,0,TRUE,TRUE,1.054,1.00119884026761,0.77602778259418,0.637745219385715,"IA","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:47,21789.9026344958,NA,NA,NA,-0.386205836814406,1.90935727584713,0.812751287802739,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.826411951517191,16157.2369963549,57,NA,NA,0,TRUE,TRUE,1.018,20.3516059362415,0,8.30759251177167,"ROE","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:51,16157.2369963549,NA,NA,NA,NA,NA,NA,1.0870142292834,33.5140925497518,12.1433393981451,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.775178898606071,16275.0323195434,59,NA,NA,0,TRUE,TRUE,1.061,0.637737615990137,0.00140539710609733,0.549654074411517,"EG","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:54,16275.0323195434,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.667339554826094,5.55812182105863,2.12526036050054,NA,NA,NA
"Nelder-Mead5",0.609977343316976,19331.0391797526,81,NA,NA,0,FALSE,TRUE,1.443,1.06428857031351,0.917445239145961,0.387229083515599,"Alpha","PE",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:47:00,19331.0391797526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00395858122980691,0.00595701466115982,0.00208987621584693
"Nelder-Mead6",1.033984375,5986.9544581851,20,NA,NA,0,TRUE,TRUE,0.325,2.2045828994411,0.940277271969887,1.75763855997268,"MKT","VC",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:38,5986.9544581851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.18134966348346,4432.59513767572,55,NA,NA,0,TRUE,TRUE,1.191,24.418110474354,0.0126223691913098,16.6931557429138,"ME","VC",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:44,4432.59513767572,-1.2773653184586,4.92762678352881,4.35189415154325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.13687849169909,4701.65977420622,59,NA,NA,0,TRUE,TRUE,1.026,7.25875770139346,5.42591893981648e-06,6.05702356178152,"IA","VC",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:50,4701.65977420622,NA,NA,NA,-1.55300459215261,3.716405443992,2.13910233502968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.48784117198202,5026.08119571976,63,NA,NA,0,TRUE,TRUE,0.984,1.80084819092725,5.2259656579956e-07,0.940996627049716,"ROE","VC",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-27 14:46:55,5026.08119571976,NA,NA,NA,NA,NA,NA,-1.14803399661396,4.06018931585971,1.42407861823125,NA,NA,NA,NA,NA,NA
