"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.27473268835957,-0.263715764090485,99463.2028230507,99,NA,NA,0,FALSE,TRUE,1.854,0.000176998172062086,0.000823967086719387,0.999999968885832,0.000190377585588356,0.000330227780892617,"HML","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:02,99463.2028230507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.3048854811711,NA,88730.6865370958,143,NA,NA,0,FALSE,TRUE,2.339,0.000139268365794017,NA,0.999999954846015,0.000126609701073067,NA,"SMB","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:06,88730.6865370958,0.86356572233233,0.000342225100485728,0.000239187944088189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.59123325794935,NA,91080.4554441458,83,NA,NA,0,TRUE,TRUE,1.145,0.00073449588355892,NA,0.999983409566293,0.000375424587212641,NA,"HDY","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:09,91080.4554441458,NA,NA,NA,1.51359070688486,0.00354690635067595,0.00199828273296958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.00855627933744,NA,84989.7389507566,131,NA,NA,0,FALSE,TRUE,2.199,0.000241671655317283,NA,0.999999999186685,9.31359634672673e-05,NA,"QLT","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:14,84989.7389507566,NA,NA,NA,NA,NA,NA,1.13686076532383,3.48283063933012e-05,3.73736409747875e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.929169792633161,NA,85006.0482282519,127,NA,NA,0,FALSE,TRUE,2.252,0.000302700559226939,NA,0.999999991255697,0.000113551199815417,NA,"MOM","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:18,85006.0482282519,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39816678913117,0.000101066345109966,5.9966237113466e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.4769338455027,NA,97135.9582090109,195,NA,NA,0,FALSE,TRUE,3.054,0.000271704554407992,NA,0.999994923981077,0.000206577663882913,NA,"ESG","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:23,97135.9582090109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38847092235501,0.000481389569495901,0.00019676924429737,NA,NA,NA
"Nelder-Mead6",1.2479198210199,NA,70459.6229767478,121,NA,NA,0,FALSE,TRUE,1.91,0.000145896189600153,NA,0.999999830154741,0.000131751945230509,NA,"LOV","BO",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:27,70459.6229767478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1136217834236,0.000279000179888936,0.00015418201459297
"Nelder-Mead7",0.988649059838596,-0.608072883572771,13398.5331285323,163,NA,NA,0,FALSE,TRUE,1.946,7.91032312327084e-05,0.000233097721044878,0.999999990071812,5.08148167377485e-05,9.71111180347168e-05,"HML","DD",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:05,13398.5331285323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.02532493302604,NA,12714.1753746031,135,NA,NA,0,FALSE,TRUE,1.452,0.000154410574818329,NA,0.999999995834273,9.13291737182884e-05,NA,"SMB","DD",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:08,12714.1753746031,0.766193079736457,0.000119168918215522,7.96759707177329e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.06627702007307,NA,13867.0164854312,75,NA,NA,0,FALSE,TRUE,0.847,6.18010156364556e-05,NA,0.999999999808656,0.000143317924065615,NA,"HDY","DD",180,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-03 21:48:10,13867.0164854312,NA,NA,NA,0.0764394702711059,0.000244998802655088,0.000139151007055676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
