"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.21249997812263,-1.20756646030256,101254.312957644,145,NA,NA,0,FALSE,TRUE,2.398,8.0670910216545e-05,0.000188905568344286,0.999999970630903,6.71358204455267e-05,9.01310748929603e-05,"HML","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:47,101254.312957644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.3457135421191,NA,101265.624562692,131,NA,NA,0,FALSE,TRUE,2.053,0.000288827695867343,NA,0.999999942438221,0.000227662718896218,NA,"SMB","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:51,101265.624562692,0.951337947740101,0.000291526281301184,0.000161304630856996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.52940797384085,NA,107537.004300173,105,NA,NA,0,FALSE,TRUE,2.026,0.000420060350606165,NA,0.99999724657208,0.000375455504914316,NA,"HDY","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:55,107537.004300173,NA,NA,NA,1.62549036114899,0.00135373497186877,0.000630816147169852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.20203623909331,NA,97730.3825263388,145,NA,NA,0,FALSE,TRUE,2.866,6.29030025619266e-05,NA,0.999999998758827,5.21679628165016e-05,NA,"QLT","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:20:00,97730.3825263388,NA,NA,NA,NA,NA,NA,0.722547167719382,5.47035240965145e-05,3.64426672978269e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.898894505265781,NA,93060.4063489352,145,NA,NA,0,FALSE,TRUE,2.546,0.000411090023094128,NA,0.999999931597032,0.000167169635426419,NA,"MOM","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:20:04,93060.4063489352,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88381551814373,0.000196852402406228,0.000113384917938532,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.54787641429847,NA,108545.397384111,135,NA,NA,0,FALSE,TRUE,2.496,8.22019718862622e-05,NA,0.99999712579568,7.72324827007657e-05,NA,"ESG","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:20:09,108545.397384111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45002547135213,0.000367290930208784,0.000165612867945851,NA,NA,NA
"Nelder-Mead6",1.26769606921128,NA,78237.2500728243,123,NA,NA,0,FALSE,TRUE,2.313,9.67943802277424e-05,NA,0.999999824066935,6.34616316157406e-05,NA,"LOV","BO",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:20:14,78237.2500728243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02931662874331,0.000299667956945159,0.000159062115090346
"Nelder-Mead7",0.983031954711642,-0.353860883611855,11423.7616288459,113,NA,NA,0,FALSE,TRUE,1.431,7.3234741889934e-05,0.000226958910397589,0.999999996756665,0.000128128411914958,0.000111003198924898,"HML","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:43,11423.7616288459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.880988560275225,NA,8282.95236982053,147,NA,NA,0,FALSE,TRUE,1.801,7.63646056309219e-05,NA,0.999999997386195,7.71620446884438e-05,NA,"SMB","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:47,8282.95236982053,0.864029069856243,8.83663401962581e-05,5.90742356611874e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.07542437336086,NA,10054.4423930394,119,NA,NA,0,FALSE,TRUE,1.388,3.06187245995479e-05,NA,0.999999994467823,4.67895692818867e-05,NA,"HDY","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:49,10054.4423930394,NA,NA,NA,0.901120195578291,0.000115207642727691,5.78904179204179e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",0.813080323042653,NA,9689.61460831729,125,NA,NA,0,FALSE,TRUE,1.444,0.000132201807416087,NA,0.99999999987916,7.95245645282229e-05,NA,"QLT","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:53,9689.61460831729,NA,NA,NA,NA,NA,NA,0.938175523663368,2.70553927613102e-05,4.28076583030958e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.18442035487599,NA,11352.1306141916,101,NA,NA,0,FALSE,TRUE,1.299,0.000125531276897435,NA,0.999999995334248,6.25856501322973e-05,NA,"MOM","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:19:58,11352.1306141916,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303846191157666,0.000242337303261735,9.50066270693681e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.20272904621324,NA,9891.39939588861,153,NA,NA,0,FALSE,TRUE,1.824,0.000140963688844144,NA,0.999989965380084,7.54256766990074e-05,NA,"ESG","DD",210,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:20:02,9891.39939588861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.30916034986573,0.000535752079602888,0.000224323554627371,NA,NA,NA
