"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.26350046260751,-1.17944492259675,85980.5407105498,117,NA,NA,0,FALSE,TRUE,1.997,0.00033513077006614,0.000653889865820757,0.999999641470369,0.000272007675157834,0.000311146918472602,"HML","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:25,85980.5407105498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.35591826286466,NA,91030.1740273633,111,NA,NA,0,FALSE,TRUE,1.977,0.000362988214711648,NA,0.999999625609784,0.000312560110585548,NA,"SMB","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:30,91030.1740273633,0.869006314666597,0.000980459711708856,0.000583153201532925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.53049308735421,NA,95736.8733831298,115,NA,NA,0,FALSE,FALSE,2.192,0.0379211889896189,NA,0.99986620530407,0.0367192189205925,NA,"HDY","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:36,95736.8733831298,NA,NA,NA,1.01941333831282,0.00399518298939376,0.00383463559961297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.20203524300566,NA,82995.856197685,133,NA,NA,0,FALSE,TRUE,2.237,6.26360203529378e-05,NA,0.99999999877313,5.18329611428493e-05,NA,"QLT","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:40,82995.856197685,NA,NA,NA,NA,NA,NA,0.722547900069525,5.43363111638137e-05,3.60748579447089e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.876228258933851,NA,77241.4398152464,117,NA,NA,0,FALSE,TRUE,1.83,0.000114033037275957,NA,0.999999990218534,4.61171395720956e-05,NA,"MOM","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:44,77241.4398152464,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95896808195996,7.38244870195282e-05,3.97512767050449e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.56846247874764,NA,95320.4245685299,161,NA,NA,0,FALSE,FALSE,2.458,0.00278431624933484,NA,0.999975883328935,0.00265248159191763,NA,"ESG","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:48,95320.4245685299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3411736862491,0.00126979228722867,0.00129870908487503,NA,NA,NA
"Nelder-Mead6",1.26769611487962,NA,66033.7909740021,135,NA,NA,0,FALSE,TRUE,2.459,9.68840719220097e-05,NA,0.999999819384518,6.35091117934227e-05,NA,"LOV","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:54,66033.7909740021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02931595596084,0.000303545193961946,0.00016111772819639
"Nelder-Mead7",0.983030354936076,-0.353867289520777,10518.6223065614,117,NA,NA,0,FALSE,TRUE,1.323,7.2649012661701e-05,0.000222674975438602,0.999999996878665,0.000127112017106256,0.000108688177343087,"HML","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:23,10518.6223065614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.880988473398874,NA,7657.55693354404,365,NA,NA,0,FALSE,TRUE,4.436,7.63940133083639e-05,NA,0.99999999738079,7.72033366481827e-05,NA,"SMB","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:30,7657.55693354404,0.864029102639909,8.84510380501195e-05,5.91385931427882e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.07542447053823,NA,9277.41946826036,113,NA,NA,0,FALSE,TRUE,1.537,3.05790025707829e-05,NA,0.999999994583263,4.67348179686333e-05,NA,"HDY","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:34,9277.41946826036,NA,NA,NA,0.901118536840383,0.000113985871456616,5.72753410293001e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",0.813086422891513,NA,8696.63184508492,123,NA,NA,0,FALSE,TRUE,1.662,0.000143628552698472,NA,0.999999999795979,8.84147813263319e-05,NA,"QLT","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:38,8696.63184508492,NA,NA,NA,NA,NA,NA,0.938152189960538,2.6385373522808e-05,5.30085885877138e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.18442106572829,NA,10475.0400264126,105,NA,NA,0,FALSE,TRUE,1.098,0.000124373453511433,NA,0.999999995530414,6.21062420570704e-05,NA,"MOM","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:42,10475.0400264126,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.303847267998079,0.000236282899977867,9.26263535928074e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.20132016594157,NA,8974.71906338464,135,NA,NA,0,FALSE,TRUE,1.637,0.000139676938166597,NA,0.999994289681893,7.49167623000799e-05,NA,"ESG","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:46,8974.71906338464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1898685470737,0.00040924602844228,0.000171749174135171,NA,NA,NA
"Nelder-Mead61",0.959780517535533,NA,9576.36880607221,137,NA,NA,0,FALSE,TRUE,1.502,0.000135501617819024,NA,0.99999946944791,0.000195216069753302,NA,"LOV","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2020-07-03 21:15:48,9576.36880607221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31362362639801,0.000780589681603783,0.000677421714579085
