"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting","nc_tag","nc_label"
6,"PE",0,1.00578658640661,1.60670643004168,1.81154328290507,"Alpha",0.00399728015089124,0.00368028282177217,0.00432589419428173,0.625992756113211,1.08613395884788,FALSE,0.555209801442716,0.924035580013752,FALSE,2011,"EW","","100% NAV as Cashflow"
5,"PE",0,0.980216139027175,1.27474748740849,0.931666024099517,"EG",0.518913266960976,0.884316435013678,0.701115303275032,0.768949261488575,0.586795909716356,FALSE,1.05211107164135,0.740125432346208,FALSE,2011,"EW","","100% NAV as Cashflow"
3,"PE",0,1.18428310727904,0.636743338888884,0.484498824061367,"IA",0.9128668159261,1.30697380710248,1.08887142794118,1.85990655095915,0.698458386055875,FALSE,2.44434671141542,0.838360519434451,FALSE,2011,"EW","","100% NAV as Cashflow"
2,"PE",0,1.31098984904488,0.888434889435147,0.90784086454223,"ME",0.895512613934852,6.14984162424619,5.09154515757683,1.4756172507795,0.145615557058287,FALSE,1.44407450716149,0.175882288425199,FALSE,2011,"EW","","100% NAV as Cashflow"
1,"PE",0,1.28359375,0.795983557256225,0.713749618464607,"MKT",1.28359375,0.795983557256225,0.713749618464607,1.61258827308516,1.61258827308516,FALSE,1.79838099635166,1.79838099635166,FALSE,2011,"EW","","100% NAV as Cashflow"
4,"PE",0,1.05099417912479,1.54882326582192,1.2101540661536,"ROE",0.661758869758523,1.52773990950153,1.19244358303884,0.678575924262769,0.433161996778916,FALSE,0.868479649426217,0.554960317763703,FALSE,2011,"EW","","100% NAV as Cashflow"
54,"PE",1,1.00586824511489,0.788132777007891,0.809266979293589,"Alpha",0.00395831707599007,0.000981940772552354,0.00115492397798641,1.27626749509597,4.03111591516995,FALSE,1.24293746174212,3.42733993876491,FALSE,2011,"EW","","100% NAV as Cashflow"
53,"PE",1,0.986694627150428,1.26129813094709,0.920232629026546,"EG",0.524674497789237,0.872651682935168,0.691168484507934,0.782285014891391,0.601241604238351,FALSE,1.07222304016126,0.759112299749562,FALSE,2011,"EW","","100% NAV as Cashflow"
51,"PE",1,1.19670795286511,0.651778749577715,0.492350741822206,"IA",0.873574325152731,1.33071354204349,1.10384704198051,1.83606469778349,0.656470605845973,FALSE,2.43060048703503,0.791390737964359,FALSE,2011,"EW","","100% NAV as Cashflow"
50,"PE",1,1.30982959291964,0.903480534493322,0.900036564470208,"ME",0.818709573286788,5.83186321125331,4.82208243751772,1.44975961618719,0.140385592670793,FALSE,1.45530708931881,0.169783404555032,FALSE,2011,"EW","","100% NAV as Cashflow"
49,"PE",1,1.2810546875,0.795357804818235,0.713554690311522,"MKT",1.2810546875,0.795357804818235,0.713554690311522,1.61066463387854,1.61066463387854,FALSE,1.79531394705109,1.79531394705109,FALSE,2011,"EW","","100% NAV as Cashflow"
52,"PE",1,1.06465042202053,3.03266627173184,2.37567472620882,"ROE",0.628443601589788,2.87912035529605,2.25800499070846,0.351060857551117,0.218276252478916,FALSE,0.448146545600346,0.27831807466139,FALSE,2011,"EW","","100% NAV as Cashflow"
102,"PE",30,0.581685560823369,0.0207010879732791,0.0215315883823835,"Alpha",0.00572673906505091,0.000534060315028849,0.000291199985046751,28.0992748581237,10.7230192993118,TRUE,27.0154505321719,19.6660005464338,TRUE,2011,"EW","","100% NAV as Cashflow"
101,"PE",30,1.00197232399412,2.22414744061439,1.68574358255031,"EG",0.392915721008126,1.59377938691975,1.28947891206916,0.450497258274091,0.246530808613043,FALSE,0.59438003167615,0.304708915617421,FALSE,2011,"EW","","100% NAV as Cashflow"
99,"PE",30,1.17662538347868,49.7987041436472,37.0557836356684,"IA",0.559326526523364,108.162894449931,80.7283554095301,0.023627630552085,0.00517114976783723,FALSE,0.0317528134082181,0.00692850143776538,FALSE,2011,"EW","","100% NAV as Cashflow"
98,"PE",30,1.32899165034164,0.883073291170638,1.03922273279949,"ME",0.924620566600015,10.6180584700415,8.49939515689412,1.50496189119238,0.0870800032989836,FALSE,1.27883235075272,0.108786631228697,FALSE,2011,"EW","","100% NAV as Cashflow"
97,"PE",30,1.246484375,0.786965283641705,0.711046569002204,"MKT",1.246484375,0.786965283641705,0.711046569002204,1.58391278612934,1.58391278612934,FALSE,1.75302776124659,1.75302776124659,FALSE,2011,"EW","","100% NAV as Cashflow"
100,"PE",30,1.05601007278019,2.73076683716595,2.18364803089097,"ROE",0.494274929857056,2.2608542820346,1.79451355107761,0.38670825293753,0.21862308145408,FALSE,0.483599031456236,0.275436721868298,FALSE,2011,"EW","","100% NAV as Cashflow"
150,"PE",60,1.00473276061774,3.43731643727962,1.77892038621086,"Alpha",0.00292626205326553,0.0236959127162766,0.0153257658547818,0.292301502916883,0.123492270093293,FALSE,0.564799171680664,0.190937410958324,FALSE,2011,"EW","","100% NAV as Cashflow"
149,"PE",60,1.0333471746435,8.04599585352996,6.00791550936043,"EG",0.295911651218921,6.82583593064713,4.91209554664572,0.12842999094887,0.0433517087468094,FALSE,0.171997620977447,0.0602414282069468,FALSE,2011,"EW","","100% NAV as Cashflow"
