"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting"
6,"PE",0,1.0013605876824,3.73067382027815,1.73350809645028,"Alpha",0.00254558833382277,0.0264547526868108,0.0141119987206583,0.268412795093338,0.0962242347890816,FALSE,0.577649789887278,0.180384677196458,FALSE,2011,"EW"
5,"PE",0,0.759417933829536,5.55037493747515,4.15995107576867,"EG",0.466040976293152,4.32201396289255,3.32559756512305,0.13682281690595,0.107829585997277,FALSE,0.182554534896594,0.140137514286371,FALSE,2011,"EW"
3,"PE",0,0.934084755329242,2.06179897944939,3.12170531317058,"IA",0.839729707954393,4.48653270209267,6.82076181761825,0.453043562752511,0.187166741827763,FALSE,0.299222592019915,0.123113770925902,FALSE,2011,"EW"
2,"PE",0,1.09819397710744,1.17407256964487,1.12734862358402,"ME",0.626838359038084,8.05956306940767,6.91527362577491,0.935371462974915,0.0777757247681856,FALSE,0.974138748328008,0.0906454889509657,FALSE,2011,"EW"
1,"PE",0,1.1181640625,0.816413108794201,0.660978245609834,"MKT",1.1181640625,0.816413108794201,0.660978245609834,1.36960571854544,1.36960571854544,FALSE,1.6916805809068,1.6916805809068,FALSE,2011,"EW"
4,"PE",0,0.851694875422033,1.47298724345847,2.24023129147976,"ROE",0.542652703198945,1.39871743198232,1.9894431503468,0.578209267734263,0.38796449575228,FALSE,0.380181670821791,0.272766127096595,FALSE,2011,"EW"
54,"PE",1,1.00132453283715,3.77153464856372,1.75396093621288,"Alpha",0.00249760442264179,0.0267424448593473,0.0142736262320917,0.265495249584536,0.0933947675980269,FALSE,0.5708932919562,0.174980371632989,FALSE,2011,"EW"
53,"PE",1,0.763045641127974,5.44746152743402,4.07788075903054,"EG",0.469793820753694,4.2350894917328,3.25608679050845,0.140073617277551,0.110928900480324,FALSE,0.18711818373752,0.144281725574131,FALSE,2011,"EW"
51,"PE",1,0.948042683897348,2.1904924767223,2.09782265253808,"IA",0.793036737135935,4.58509144040044,4.99749140200681,0.43279887695206,0.172959852043142,FALSE,0.451917459633847,0.158686963786967,FALSE,2011,"EW"
50,"PE",1,1.09705350630884,1.79185094169089,1.09798729139958,"ME",0.568031918419183,13.4183802990223,6.6359775619903,0.61224596353623,0.0423323758725613,FALSE,0.999149548361758,0.0855988304832085,FALSE,2011,"EW"
49,"PE",1,1.1169921875,0.816558004159997,0.661207352874442,"MKT",1.1169921875,0.816558004159997,0.661207352874442,1.36792754686063,1.36792754686063,FALSE,1.68932209033088,1.68932209033088,FALSE,2011,"EW"
52,"PE",1,0.870113112500008,1.49522756171335,2.2228621303672,"ROE",0.502649220707258,1.41729085903085,1.95310191459719,0.58192688175368,0.354654951384483,FALSE,0.391438182608416,0.257359442920276,FALSE,2011,"EW"
102,"PE",30,0.528875484577356,0.27017647803858,0.181944218734453,"Alpha",0.00450953682933771,0.00241680957043741,0.00137649461653816,1.95751861308161,1.86590490392735,FALSE,2.90680016246764,3.27610204584676,TRUE,2011,"EW"
101,"PE",30,0.810874988685828,24.4588873479496,18.7180457841747,"EG",0.346611303527607,20.1238845688796,15.2577947830416,0.03315257056261,0.0172238765503367,FALSE,0.0433204939252466,0.022716998652574,FALSE,2011,"EW"
99,"PE",30,0.973265414839262,15.0038339608654,14.4818034384431,"IA",0.488863177245366,35.4120886400016,33.3906139899074,0.0648677809537107,0.0138049800511666,FALSE,0.0672060920434572,0.0146407363875707,FALSE,2011,"EW"
98,"PE",30,1.11518473985725,2.9220275033976,2.55333890912657,"ME",0.666102344830688,19.523622697209,16.4284910568439,0.381647584959609,0.0341177636528445,FALSE,0.436755471775083,0.0405455584767901,FALSE,2011,"EW"
97,"PE",30,1.0951171875,0.685867007594091,0.809682815270342,"MKT",1.0951171875,0.685867007594091,0.809682815270342,1.59669028452249,1.59669028452249,FALSE,1.35252615820228,1.35252615820228,FALSE,2011,"EW"
100,"PE",30,0.876725329757573,0.895362343248497,1.29358548876563,"ROE",0.408383317969128,1.01614833532256,1.1670281777192,0.979184948270991,0.401893408445622,FALSE,0.677748272048232,0.349934410981626,FALSE,2011,"EW"
150,"PE",60,1.00083150068689,0.574029104400646,0.542977849689813,"Alpha",0.00164391367907183,0.00139236921116265,0.00171776735961326,1.74352048182622,1.18065931499529,FALSE,1.84322712475037,0.957006005424356,FALSE,2011,"EW"
149,"PE",60,0.82947234379244,5.32820353461547,4.02720672295072,"EG",0.285995496908436,4.89311409939532,3.50912909310062,0.155675799245214,0.0584485648809576,FALSE,0.205967163062513,0.0815004205660995,FALSE,2011,"EW"
147,"PE",60,0.979667315073311,8.20128769953068,7.8885691362017,"IA",0.368032007850707,19.3409924391687,17.7553366199105,0.119452865326182,0.0190285999546425,FALSE,0.124188214384468,0.0207279656662776,FALSE,2011,"EW"
146,"PE",60,1.10515382287995,4.51773625544706,3.78312154959578,"ME",0.752412311710941,10.548005773421,8.90761531776768,0.244625573603917,0.0713321861850777,FALSE,0.292127495347865,0.0844684334549262,FALSE,2011,"EW"
145,"PE",60,1.09375,0.685981918992033,0.809895726864075,"MKT",1.09375,0.685981918992033,0.809895726864075,1.59442977973404,1.59442977973404,FALSE,1.35048249264756,1.35048249264756,FALSE,2011,"EW"
148,"PE",60,0.946659026580164,1.29539675669658,1.3595395812422,"ROE",0.234686758584576,1.41818031884029,1.16163415671266,0.730786935883845,0.165484427802869,FALSE,0.696308544187591,0.202031558067062,FALSE,2011,"EW"
