"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.55390625,194.095203175972,28,NA,NA,0,TRUE,TRUE,14.953,0.58507149402943,0.363272931337619,"MKT","PE",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:38:16,488.409438695528,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.7964953403658,180.382523666154,59,NA,NA,0,TRUE,TRUE,32.246,0.59155809361292,0.724896909679914,"ME","PE",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:39:36,444.708127887974,1.2989616625855,0.615044350944695,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.31227468629836,184.70946647287,73,NA,NA,0,TRUE,TRUE,34.306,0.586512485450227,0.0427043346276006,"IA","PE",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:40:51,449.481494789555,NA,NA,2.57225007254551,0.982957365728159,NA,NA,NA,NA
"Nelder-Mead3",1.76391309653225,171.826380226355,57,NA,NA,0,TRUE,TRUE,22.509,0.633914904998022,0.391437221899045,"ROE","PE",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:41:50,440.924642178927,NA,NA,NA,NA,1.81194026687165,0.857717997775044,NA,NA
"Nelder-Mead4",1.87535119181791,176.252234169981,75,NA,NA,0,TRUE,TRUE,29.557,0.596332909811308,0.00811035458380904,"EG","PE",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:42:58,480.416126703759,NA,NA,NA,NA,NA,NA,2.65564653421877,1.19518365851023
"Nelder-Mead5",2.7375,217.906997340447,26,NA,NA,0,TRUE,TRUE,6.502,0.616574443124633,0.284035416150501,"MKT","VC",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:37:56,380.123886767135,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.3927048907977,185.975951452128,67,NA,NA,0,TRUE,TRUE,17.004,0.749291662410144,0.0358424070385195,"ME","VC",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:38:37,447.219736867397,-2.05852072971246,0.555905803615287,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.50566765721763,213.093267913667,75,NA,NA,0,TRUE,TRUE,16.609,0.654586527898215,0.0208580380317045,"IA","VC",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:39:52,413.700651827693,NA,NA,-2.33490791379463,1.09278154556069,NA,NA,NA,NA
"Nelder-Mead31",3.04685516166541,210.412100557461,69,NA,NA,0,TRUE,TRUE,14.85,0.591345695216298,0.278316996955029,"ROE","VC",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:40:26,424.812908251064,NA,NA,NA,NA,-1.45920120680205,0.718639495520303,NA,NA
"Nelder-Mead41",2.73696041833518,217.756801094889,49,NA,NA,0,TRUE,TRUE,9.18000000000001,0.637379701434063,0.392047136259668,"EG","VC",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:40:52,373.613809395947,NA,NA,NA,NA,NA,NA,0.370181829601825,1.58382796070414
"Nelder-Mead6",0.70234375,250.48085354002,20,NA,NA,0,TRUE,TRUE,1.712,1.80257913641355,0.591579217734984,"MKT","PD",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:37:48,793.818793576034,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.135456798062929,215.013145576912,71,NA,NA,0,TRUE,TRUE,5.988,1.7697434886706,0.0014067522186515,"ME","PD",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:38:02,656.713063671939,1.52650922815693,2.0350850638333,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.587281016908144,231.991833228963,65,NA,NA,0,TRUE,TRUE,5.543,2.90753318382608,0,"IA","PD",40,0,"2009","EW","L2_Lasso","exp.aff",2020-04-09 11:38:14,640.253898434301,NA,NA,3.68907216813061,6.21244018987246,NA,NA,NA,NA
