"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.83046875,142.804677799249,28,NA,NA,0,TRUE,TRUE,30.674,0.494206652562735,0.365661524776758,"MKT","PE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:42:05,3193.46461547377,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.45809939380451,134.702464983982,61,NA,NA,0,TRUE,TRUE,67.748,0.619433386315213,0.714369603909869,"ME","PE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:45:13,3077.28316401921,1.63400092419115,0.608103354287508,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.35608129779482,138.116238434237,69,NA,NA,0,TRUE,TRUE,65.463,0.441603347717308,0.0353844712222118,"IA","PE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:47:57,2879.88558829539,NA,NA,2.60380920008438,1.06028896681097,NA,NA,NA,NA
"Nelder-Mead3",2.37140842519133,118.201320676037,67,NA,NA,0,TRUE,TRUE,63.646,0.618863879521216,0.105311697294497,"ROE","PE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:50:37,4457.71522625282,NA,NA,NA,NA,2.9481583151636,0.6435158321211,NA,NA
"Nelder-Mead4",2.23146741537288,133.18699891756,73,NA,NA,0,TRUE,TRUE,68.516,0.564467012439684,0.00125504960906309,"EG","PE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:53:25,3119.81510506946,NA,NA,NA,NA,NA,NA,3.35119187625712,1.16599030003088
"Nelder-Mead5",1.5375,127.714898103874,20,NA,NA,0,TRUE,TRUE,7.01,0.620064397667655,0.738919452572064,"MKT","VC",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:41:08,2738.00042171314,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.89475050168666,117.051635517805,65,NA,NA,0,TRUE,TRUE,21.346,1.10592361179279,1.32368437255614e-05,"ME","VC",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:41:59,3229.19628217794,-1.99490177434236,0.894862246016973,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.52839832305908,127.713576017966,37,NA,NA,0,TRUE,TRUE,11.682,0.616448584788444,0.946166469896154,"IA","VC",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:42:39,2734.95817930319,NA,NA,0.0608569145202637,1.14154390891792,NA,NA,NA,NA
"Nelder-Mead31",1.75662756920792,127.301011610616,47,NA,NA,0,TRUE,TRUE,15.1,0.583236577754286,0.862935004422148,"ROE","VC",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:43:25,2797.68576469702,NA,NA,NA,NA,-0.548996631242335,0.704288061142256,NA,NA
"Nelder-Mead41",0.999906067550187,123.457366905881,53,NA,NA,0,TRUE,TRUE,20.326,0.61864623683396,0.0140419679877222,"EG","VC",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:23,2466.46299128267,NA,NA,NA,NA,NA,NA,2.93840098530054,0.994035998879054
"Nelder-Mead6",1.68359375,196.370516678333,26,NA,NA,0,TRUE,TRUE,3.837,0.000616332136046616,0.999663834651572,"MKT","PD",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:40:57,2907.63122435573,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.42674636114265,172.608648899316,61,NA,NA,0,TRUE,TRUE,9.105,2.61086029416999,1.5979051528392e-05,"ME","PD",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:41:18,2039.95790453634,1.75018176646719,1.9980257008345,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.22342202693445,186.934987135726,69,NA,NA,0,TRUE,TRUE,9.019,1.83999848024043,0,"IA","PD",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:41:38,2274.93628291697,NA,NA,3.1550000752297,4.16789077096737,NA,NA,NA,NA
"Nelder-Mead32",1.60874431214761,152.532090624965,57,NA,NA,0,TRUE,TRUE,7.837,4.88503654619269,3.89891700924849e-07,"ROE","PD",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:41:57,4310.29518372246,NA,NA,NA,NA,2.57079193352256,2.73790461355907,NA,NA
"Nelder-Mead42",1.3153747946126,167.372492954591,59,NA,NA,0,TRUE,TRUE,7.951,2.79674218617373,0,"EG","PD",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:42:17,3550.56074941545,NA,NA,NA,NA,NA,NA,3.86330376900068,4.10846141257518
"Nelder-Mead7",1.16875,156.3867603989,16,NA,NA,0,TRUE,TRUE,3.68000000000001,0.912597742840169,0.877609050314546,"MKT","RE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:42:29,6786.99572297167,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.0509641629485035,151.071527818081,57,NA,NA,0,TRUE,TRUE,14.073,1.55800136648576,0.00127467968138206,"ME","RE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:43:04,5143.4092517106,1.39251119823607,1.63242027288881,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.930371294735234,155.128121197606,47,NA,NA,0,TRUE,TRUE,12.284,0.820152672255693,0.00812871984785746,"IA","RE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:43:43,5405.3864325806,NA,NA,1.40141893035616,2.20166576192337,NA,NA,NA,NA
"Nelder-Mead33",0.832832100093281,133.512774405606,65,NA,NA,0,TRUE,TRUE,18.803,1.13458071820526,0.0266408259680335,"ROE","RE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:30,1748.97349881374,NA,NA,NA,NA,2.90779068297478,0.927498364322414,NA,NA
"Nelder-Mead43",0.688539667050765,147.220139026163,59,NA,NA,0,TRUE,TRUE,16.853,0.956037274977285,0,"EG","RE",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:45:06,2549.14212782497,NA,NA,NA,NA,NA,NA,3.68088587905929,3.91561643567193
"Nelder-Mead8",1.5625,655.501352321991,22,NA,NA,0,TRUE,TRUE,0.907000000000011,1.34752529780875,0.448461171860298,"MKT","NATRES",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:25,11574.4991043849,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",-0.205388766930563,608.365362239079,69,NA,NA,0,TRUE,TRUE,2.68100000000001,3.71722843420984,0,"ME","NATRES",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:31,26762.5367735598,2.41061623683195,4.82601379758679,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",1.26316009180871,637.21879164031,55,NA,NA,0,TRUE,TRUE,2.32399999999998,1.52229126895239,0,"IA","NATRES",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:37,12156.4418776635,NA,NA,1.94811251227968,8.11234756167341,NA,NA,NA,NA
"Nelder-Mead34",1.40389912880168,610.883370763695,53,NA,NA,0,TRUE,TRUE,2.24099999999999,1.31001256897263,0,"ROE","NATRES",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:43,1665.05261996657,NA,NA,NA,NA,3.01561973308855,3.13566487833053,NA,NA
"Nelder-Mead44",1.13949413299561,627.501697339169,49,NA,NA,0,TRUE,TRUE,2.03099999999998,1.42320630149463,0,"EG","NATRES",40,0,"1991","EW","L2_Lasso","exp.aff",2020-04-09 09:44:49,10278.7851123995,NA,NA,NA,NA,NA,NA,2.40289096832275,5.22437079531072
